x,y,z,w,rho,grad,tau,exchange,reference
3.856214655243400E-05,-1.562515235477700E-05,-7.021898278101000E-01,7.662623216503100E-15,3.420417298426400E-01,1.934706142440600E-01,1.367920757548900E-02,-1.536184112373100E-01,-1.986085201774570E-02
-3.856214655243400E-05,-1.562515235477700E-05,-7.021898278101000E-01,7.662623216503100E-15,3.420417298426400E-01,1.934706142440600E-01,1.367920757548900E-02,-1.536184112373100E-01,-1.986085201774570E-02
3.856214655243400E-05,1.562515235477700E-05,-7.022210781148100E-01,7.662623216503100E-15,3.420356820938300E-01,1.935816700094300E-01,1.369515847522000E-02,-1.536143821434200E-01,-1.986056709464560E-02
-3.856214655243400E-05,1.562515235477700E-05,-7.022210781148100E-01,7.662623216503100E-15,3.420356820938300E-01,1.935816700094300E-01,1.369515847522000E-02,-1.536143821434200E-01,-1.986056709464560E-02
3.856214655243400E-05,-1.562515235477700E-05,-7.022210781148100E-01,7.662623216503100E-15,3.420356820938300E-01,1.935816700094300E-01,1.369515847522000E-02,-1.536143821434200E-01,-1.986056709464560E-02
-3.856214655243400E-05,-1.562515235477700E-05,-7.022210781148100E-01,7.662623216503100E-15,3.420356820938300E-01,1.935816700094300E-01,1.369515847522000E-02,-1.536143821434200E-01,-1.986056709464560E-02
2.918384344280800E-05,2.918384344280800E-05,-7.021889624657100E-01,8.006983026088900E-15,3.420418973138900E-01,1.934675379213800E-01,1.367876586293300E-02,-1.536185228092600E-01,-1.986085990783650E-02
-2.918384344280800E-05,2.918384344280800E-05,-7.021889624657100E-01,8.006983026088900E-15,3.420418973138900E-01,1.934675379213800E-01,1.367876586293300E-02,-1.536185228092600E-01,-1.986085990783650E-02
2.918384344280800E-05,-2.918384344280800E-05,-7.021889624657100E-01,8.006983026088900E-15,3.420418973138900E-01,1.934675379213800E-01,1.367876586293300E-02,-1.536185228092600E-01,-1.986085990783650E-02
-2.918384344280800E-05,-2.918384344280800E-05,-7.021889624657100E-01,8.006983026088900E-15,3.420418973138900E-01,1.934675379213800E-01,1.367876586293300E-02,-1.536185228092600E-01,-1.986085990783650E-02
2.918384344280800E-05,2.918384344280800E-05,-7.022219434592000E-01,8.006983026088900E-15,3.420355146316800E-01,1.935847441223700E-01,1.369560014742900E-02,-1.536142705781100E-01,-1.986055920526660E-02
-2.918384344280800E-05,2.918384344280800E-05,-7.022219434592000E-01,8.006983026088900E-15,3.420355146316800E-01,1.935847441223700E-01,1.369560014742900E-02,-1.536142705781100E-01,-1.986055920526660E-02
2.918384344280800E-05,-2.918384344280800E-05,-7.022219434592000E-01,8.006983026088900E-15,3.420355146316800E-01,1.935847441223700E-01,1.369560014742900E-02,-1.536142705781100E-01,-1.986055920526660E-02
-2.918384344280800E-05,-2.918384344280800E-05,-7.022219434592000E-01,8.006983026088900E-15,3.420355146316800E-01,1.935847441223700E-01,1.369560014742900E-02,-1.536142705781100E-01,-1.986055920526660E-02
2.918384344280800E-05,1.649049674093500E-05,-7.021762691190100E-01,8.006983026088900E-15,3.420443539024300E-01,1.934224058806600E-01,1.367228645562400E-02,-1.536201594284800E-01,-1.986097564620020E-02
-2.918384344280800E-05,1.649049674093500E-05,-7.021762691190100E-01,8.006983026088900E-15,3.420443539024300E-01,1.934224058806600E-01,1.367228645562400E-02,-1.536201594284800E-01,-1.986097564619860E-02
2.918384344280800E-05,-1.649049674093500E-05,-7.021762691190100E-01,8.006983026088900E-15,3.420443539024300E-01,1.934224058806600E-01,1.367228645562400E-02,-1.536201594284800E-01,-1.986097564619860E-02
